songId,bpm,releaseDate
"""411Ψ892""",184.0,2023-02-03
#狂った民族２ PRAVARGYAZOOQA,170.0,2022-11-18
+♂,180.0,2015-12-09
-OutsideR:RequieM-,181.0,2019-03-08
1000年生きてる,100.0,2023-09-14
184億回のマルチトニック,184.0,2024-09-12
39,175.0,2013-03-18
39みゅーじっく！,130.0,2019-08-22
7thSense,150.0,2016-02-18
8-EM,168.0,2022-03-24
AFTER PANDORA,85.0,2025-07-13
ALiVE,170.0,2021-05-14
AMABIE,190.0,2021-06-25
AMAZING MIGHTYYYY!!!!,185.0,2016-11-17
ARAIS,180.0,2020-09-17
ARROW,131.0,2017-07-25
ATLAS RUSH,156.0,2025-04-11
Abstruse Dilemma,216.0,2025-01-10
Acceleration,180.0,2012-12-13
Aegleseeker,234.0,2023-03-02
Aetheric Energy,205.0,2020-10-16
After Burner,155.0,2016-02-18
Agitation！,163.0,2019-11-15
Ai C,191.0,2024-08-30
Aiolos,205.0,2015-10-15
Alcyone,176.0,2021-12-10
Alea jacta est!,162.0,2019-02-07
Alice in 冷凍庫,176.0,2021-07-09
Alice's Suitcase,190.0,2023-03-02
Altale,90.0,2019-05-10
Amereistr,147.0,2025-07-11
Apollo,339.0,2023-12-09
Armageddon,210.0,2022-03-24
Arty Party,180.0,2020-12-25
Axeria,193.0,2015-11-26
B.B.K.K.B.K.K.,170.0,2014-09-18
B.M.S.,200.0,2019-02-07
BAD∞END∞NIGHT,204.0,2012-12-13
BANG!,128.0,2022-05-13
BATTLE NO.1,200.0,2020-09-17
BETTER CHOICE,130.0,2014-11-13
BIRTH,176.0,2021-02-19
BLACK ROSE,145.0,2019-07-11
BLACK SWAN,201.0,2021-10-29
BLUE ZONE,168.0,2022-04-28
BOKUTO,188.0,2020-01-10
BOOM! BOOM!! BOOM!!!,170.0,2024-07-05
BREAK YOU!!,167.0,2013-09-19
BREaK! BREaK! BREaK!,165.0,2021-03-18
BULK UP (GAME EXCLUSIVE EDIT),200.0,2023-04-28
BaBan!! －甘い罠－,161.0,2012-07-11
Back 2 Back,150.0,2014-08-22
Backyun! －悪い女－,140.0,2013-07-11
Bad Apple!! feat.nomico,138.0,2013-07-11
Bad Apple!! feat.nomico (REDALiCE Remix),170.0,2020-01-23
Bad Apple!! feat.nomico (Tetsuya Komuro Remix),135.0,2024-06-07
Bad Apple!! feat.nomico ～五十嵐 撫子 Ver.～,141.0,2023-06-08
Baddest,215.0,2022-12-23
Bang Babang Bang!!!,200.0,2017-12-26
Baqeela,130.0,2024-08-30
Barbed Eye,135.0,2016-09-08
Beat Of Mind,140.0,2012-07-11
Beat Opera op.1,145.0,2023-02-03
Beat of getting entangled,140.0,2013-07-11
Beautiful Future,172.0,2020-10-16
Beginning together!,142.0,2024-06-21
Believe the Rainbow,133.0,2019-05-10
Big Daddy,190.0,2021-05-14
Black Lair,150.0,2020-01-23
Black Out,142.0,2013-05-09
BlackFlagBreaker!!,163.0,2025-06-20
Blank Paper (Prod. TEMPLIME),133.0,2023-01-06
Blew Moon,180.0,2013-07-11
Bloody Trail,195.0,2024-05-10
Blows Up Everything,215.0,2019-08-09
Boys O’Clock,262.0,2020-09-17
Brain Power,170.0,2018-07-03
Brand-new Japanesque,135.0,2014-06-17
Bring it on,143.0,NULL
Burn My Soul,180.0,2023-10-12
Burning Hearts ～炎のANGEL～,155.0,2013-07-11
CHAOS,150.0,2020-06-11
CHOCOLATE BOMB!!!!,190.0,2020-09-04
CITRUS MONSTER,220.0,2016-10-20
CO5M1C R4ILR0AD,155.0,2021-04-16
CYBER Sparks,192.0,2018-09-04
CYCLES,135.0,2014-04-10
Calamity Fortune,200.0,2017-12-05
Caliburne ～Story of the Legendary sword～,190.0,2015-03-05
Candy Tall Woman,190.0,2018-03-20
Catch Me If You Can,130.0,2022-10-21
Catch The Future,210.0,2012-11-07
Catch the Wave,153.0,2020-06-26
Caterpillar Song,90.0,2022-04-08
Change Our MIRAI！,256.0,2015-07-16
Chronomia,227.0,2024-09-12
Churros Parlor,190.0,2023-08-04
CiRCLE CAMPAiGN,182.0,2025-09-18
Cider P@rty,180.0,2024-05-10
City Escape: Act1,130.0,2012-11-07
Climax,190.0,2020-12-25
Club Ibuki in Break All,175.0,2017-05-11
CocktaiL,128.0,2019-11-29
Color My World,94.0,2012-07-11
Colorfull:Encounter,185.0,2025-02-27
Comet Panto Men!,170.0,2023-03-23
Complex Mind,175.0,2023-05-12
Conquista Ciela,140.0,2018-07-11
